"","sub","age.cat","flag.lottery","risk.lott","Gender","Age","mean_mars","version","pre_err","post_delta_ref","mars_age.cat","mars.mc","risk.lott.mc","pre_err.mc","post_delta_ref.mc","mars.gmc"
"1","7312338","Adolescents","1",13,"M",13,0.1875,"ver1",-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"2","7312339","Adolescents","0",7,"M",12,0.733333333333333,"ver1",-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"3","7312340","Adolescents","0",7,"F",12,0.533333333333333,"ver1",-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"4","7312341","Adolescents","0",7,"M",12,0.25,"ver1",-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"5","7312343","Adolescents","1",9,"M",12,0.3125,"ver1",-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"6","7312344","Adolescents","0",6,"M",12,0.4375,"ver1",-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"7","7312345","Adolescents","0",5,"M",12,0.928571428571429,"ver1",-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
"8","7312346","Adolescents","0",5,"M",13,NA,"ver1",-6,-2,"Adolescents",NA,-1.58221476510067,-0.898799313893654,0.256323777403035,NA
"9","7312347","Adolescents","0",9,"F",13,0.466666666666667,"ver1",-1,2,"Adolescents",-0.175269469822542,2.41778523489933,4.10120068610635,4.25632377740304,-0.0717385947385945
"10","7312348","Adolescents","0",10,"F",12,NA,"ver1",0,-20,"Adolescents",NA,3.41778523489933,5.10120068610635,-17.743676222597,NA
"11","7312349","Adolescents","0",5,"F",12,0.466666666666667,"ver1",-10,0,"Adolescents",-0.175269469822542,-1.58221476510067,-4.89879931389365,2.25632377740304,-0.0717385947385945
"12","7312350","Adolescents","0",8,"F",12,0.375,"ver1",-3,1,"Adolescents",-0.266936136489209,1.41778523489933,2.10120068610635,3.25632377740304,-0.163405261405261
"13","7312351","Adolescents","1",1,"F",12,0.8,"ver1",-6,0,"Adolescents",0.158063863510791,-5.58221476510067,-0.898799313893654,2.25632377740304,0.261594738594739
"14","7312353","Adolescents","0",5,"F",12,0.0625,"ver1",0,0,"Adolescents",-0.579436136489209,-1.58221476510067,5.10120068610635,2.25632377740304,-0.475905261405261
"15","7312354","Adolescents","1",5,"F",12,0.25,"ver1",-13,3,"Adolescents",-0.391936136489209,-1.58221476510067,-7.89879931389365,5.25632377740304,-0.288405261405261
"16","7312355","Adolescents","0",11,"M",13,0.3125,"ver1",-26,0,"Adolescents",-0.329436136489209,4.41778523489933,-20.8987993138937,2.25632377740304,-0.225905261405261
"17","7312356","Adolescents","0",8,"M",14,NA,"ver1",-36,-2,"Adolescents",NA,1.41778523489933,-30.8987993138937,0.256323777403035,NA
"18","7312357","Adolescents","0",11,"F",12,0.923076923076923,"ver1",-7,2,"Adolescents",0.281140786587714,4.41778523489933,-1.89879931389365,4.25632377740304,0.384671661671662
"19","7312358","Adolescents","0",6,"F",12,NA,"ver1",0,-5,"Adolescents",NA,-0.582214765100671,5.10120068610635,-2.74367622259696,NA
"20","7312366","Adolescents","0",7,"F",12,0.866666666666667,"ver1",-2,4,"Adolescents",0.224730530177458,0.417785234899329,3.10120068610635,6.25632377740304,0.328261405261406
"21","7312367","Adolescents","0",6,"M",13,0.5625,"ver1",-2,-6,"Adolescents",-0.0794361364892091,-0.582214765100671,3.10120068610635,-3.74367622259696,0.0240947385947385
"22","7312430","Adolescents","0",6,"M",12,0.5,"ver1",-2,-9,"Adolescents",-0.141936136489209,-0.582214765100671,3.10120068610635,-6.74367622259696,-0.0384052614052615
"23","7312431","Adolescents","0",9,"M",12,0.5625,"ver1",-1,-8,"Adolescents",-0.0794361364892091,2.41778523489933,4.10120068610635,-5.74367622259696,0.0240947385947385
"24","7312432","Adolescents","0",7,"F",12,0.666666666666667,"ver1",-4,-7,"Adolescents",0.0247305301774579,0.417785234899329,1.10120068610635,-4.74367622259696,0.128261405261406
"25","7312433","Adolescents","1",5,"F",13,0.1875,"ver1",-8,-10,"Adolescents",-0.454436136489209,-1.58221476510067,-2.89879931389365,-7.74367622259696,-0.350905261405261
"26","7312434","Adolescents","0",5,"M",13,0.8,"ver1",-8,-12,"Adolescents",0.158063863510791,-1.58221476510067,-2.89879931389365,-9.74367622259696,0.261594738594739
"27","7312435","Adolescents","0",4,"F",13,0.3125,"ver1",-10,6,"Adolescents",-0.329436136489209,-2.58221476510067,-4.89879931389365,8.25632377740304,-0.225905261405261
"28","7312436","Adolescents","1",6,"F",13,0.25,"ver1",-11,0,"Adolescents",-0.391936136489209,-0.582214765100671,-5.89879931389365,2.25632377740304,-0.288405261405261
"29","7312437","Adolescents","0",6,"F",13,0.1875,"ver1",-8,0,"Adolescents",-0.454436136489209,-0.582214765100671,-2.89879931389365,2.25632377740304,-0.350905261405261
"30","7312438","Adolescents","0",4,"M",12,0.6,"ver1",-3,-14,"Adolescents",-0.0419361364892091,-2.58221476510067,2.10120068610635,-11.743676222597,0.0615947385947385
"31","7312439","Adolescents","1",12,"F",13,0.3125,"ver1",-21,-2,"Adolescents",-0.329436136489209,5.41778523489933,-15.8987993138937,0.256323777403035,-0.225905261405261
"32","7312440","Adolescents","0",3,"M",13,0.625,"ver1",-4,-8,"Adolescents",-0.0169361364892091,-3.58221476510067,1.10120068610635,-5.74367622259696,0.0865947385947385
"33","7312441","Adolescents","0",9,"M",12,NA,"ver1",0,-3,"Adolescents",NA,2.41778523489933,5.10120068610635,-0.743676222596965,NA
"34","7312442","Adolescents","1",7,"F",12,0.3125,"ver1",-6,-5,"Adolescents",-0.329436136489209,0.417785234899329,-0.898799313893654,-2.74367622259696,-0.225905261405261
