"","sub","Gender","Age"
"1","7312338","M",13
"2","7312339","M",12
"3","7312340","F",12
"4","7312341","M",12
"5","7312342","M",13
"6","7312343","M",12
"7","7312344","M",12
"8","7312345","M",12
"9","7312346","M",13
"10","7312347","F",13
"11","7312348","F",12
"12","7312349","F",12
"13","7312350","F",12
"14","7312351","F",12
"15","7312352","F",12
"16","7312353","F",12
"17","7312354","F",12
"18","7312355","M",13
"19","7312356","M",14
"20","7312357","F",12
"21","7312358","F",12
"22","7312366","F",12
"23","7312367","M",13
"24","7312430","M",12
"25","7312431","M",12
"26","7312432","F",12
"27","7312433","F",13
"28","7312434","M",13
"29","7312435","F",13
"30","7312436","F",13
"31","7312437","F",13
"32","7312438","M",12
"33","7312439","F",13
"34","7312440","M",13
"35","7312441","M",12
"36","7312442","F",12
"37","7312443","F",12
"38","7312444","M",13
"39","7312445","F",12
"40","7312446","M",12
"41","7312449","M",12
"42","7312450","M",13
"43","7312454","M",13
"44","7312607","F",11
"45","7312608","M",11
"46","7312609","F",11
"47","7312610","M",13
"48","7312611","M",11
"49","7312612","F",12
"50","7312613","M",11
"51","7312614","F",11
"52","7312615","M",12
"53","7312616","M",11
"54","7312617","F",12
"55","7312618","F",12
"56","7312619","M",12
"57","7312620","F",11
"58","7312621","F",12
"59","7312622","M",11
"60","7312623","M",11
"61","7312624","F",11
"62","7312625","M",12
"63","7312626","M",13
"64","7312627","F",11
"65","7312628","M",12
"66","7312629","M",11
"67","7312658","M",11
"68","7312665","F",11
"69","7312667","M",13
"70","7312776","M",11
"71","7312947","F",12
"72","7312948","M",11
"73","7312949","F",11
"74","7312950","M",11
"75","7312951","F",11
"76","7312952","M",11
"77","7312953","F",11
"78","7312954","F",12
"79","7312955","M",13
"80","7312956","M",11
"81","7312957","M",11
"82","7312958","M",11
"83","7312959","M",12
"84","7312960","M",11
"85","7312961","F",12
"86","7312962","M",11
"87","7312963","F",11
"88","7312964","F",11
"89","7312965","M",12
"90","7312966","F",12
"91","7312967","M",11
"92","7312968","F",11
"93","7312969","M",12
"94","7312970","F",12
"95","7312998","M",12
"96","7313002","M",11
"97","7313088","F",11
"98","7313403","F",14
"99","7313404","F",13
"100","7313405","M",13
"101","7313406","M",13
"102","7313407","M",13
"103","7313408","F",13
"104","7313409","F",14
"105","7313410","M",13
"106","7313411","F",13
"107","7313412","F",13
"108","7313413","F",14
"109","7313414","F",13
"110","7313415","F",13
"111","7313417","F",13
"112","7313419","F",13
"113","7313420","M",13
"114","7313421","M",13
"115","7313422","M",13
"116","7313423","F",13
"117","7313425","M",13
"118","7313826","M",14
"119","7313827","F",13
"120","7313828","F",13
"121","7313829","F",13
"122","7313830","M",14
"123","7313831","F",14
"124","7313832","M",13
"125","7313833","F",14
"126","7313834","F",14
"127","7313835","M",13
"128","7313836","M",13
"129","7313837","F",13
"130","7313838","M",14
"131","7313839","F",13
"132","7313840","M",14
"133","7313841","F",13
"134","7313842","M",14
"135","7313843","F",14
"136","7313844","F",13
"137","7313845","F",14
"138","7313865","M",14
"139","7321742","M",11
"140","7321743","M",11
"141","7321744","F",12
"142","7321745","M",11
"143","7321746","M",12
"144","7321747","M",11
"145","7321748","M",11
"146","7321751","M",11
"147","7321752","M",12
"148","7321753","F",12
"149","7321754","F",11
"150","7321755","M",12
"151","7321756","M",11
"152","7321757","F",11
"153","7321758","M",12
"154","7321759","M",12
"155","7321760","M",11
"156","7321761","M",12
"157","7321763","F",11
"158","7321765","M",11
"159","7321766","M",11
"160","7321769","M",11
"161","7321771","M",12
