"","sub","mean_mars","version"
"1","7313845",0.4375,"ver1"
"4","7322039",0.9375,"ver1"
"5","7322025",0.625,"ver1"
"6","7322031",0.533333333333333,"ver1"
"7","7322041",0.8,"ver1"
"8","7322037",0.3125,"ver1"
"10","7322040",0.933333333333333,"ver1"
"11","7322036",0.625,"ver1"
"12","7322029",0.75,"ver1"
"14","7322024",0.571428571428571,"ver1"
"16","7322028",0.875,"ver1"
"17","7322046",0.5625,"ver1"
"18","7322033",0.625,"ver1"
"20","7322026",0.3125,"ver1"
"21","7322034",0.5625,"ver1"
"22","7322035",0.75,"ver1"
"23","7322038",0.923076923076923,"ver1"
"25","7322023",0.733333333333333,"ver1"
"26","7322027",0.5,"ver1"
"27","7322081",0.5,"ver1"
"28","7312951",0.3125,"ver1"
"29","7313088",0.3125,"ver1"
"30","7312954",0.25,"ver1"
"31","7312960",0.1875,"ver1"
"32","7312953",0.375,"ver1"
"33","7312969",0.1875,"ver1"
"34","7312998",0.1875,"ver1"
"38","7312964",0.75,"ver1"
"39","7312958",0.125,"ver1"
"40","7312963",0.75,"ver1"
"41","7312961",0.1875,"ver1"
"43","7312968",0.5,"ver1"
"47","7312948",0.375,"ver1"
"48","7312952",0.5625,"ver1"
"49","7312955",0.25,"ver1"
"52","7312962",0.75,"ver1"
"54","7312956",0.4375,"ver1"
"56","7321891",0.8125,"ver1"
"58","7312965",0.25,"ver1"
"59","7313831",0.8125,"ver1"
"60","7313842",0.5,"ver1"
"61","7313865",0.5,"ver1"
"62","7313828",1,"ver1"
"63","7313829",0.666666666666667,"ver1"
"65","7313834",0.625,"ver1"
"67","7313830",0.666666666666667,"ver1"
"68","7313836",0.9375,"ver1"
"69","7313826",0.928571428571429,"ver1"
"70","7313840",0.933333333333333,"ver1"
"71","7313843",0.666666666666667,"ver1"
"72","7313838",1,"ver1"
"73","7313837",0.3125,"ver1"
"74","7313839",0.6875,"ver1"
"75","7313832",0.733333333333333,"ver1"
"76","7313833",0.9375,"ver1"
"77","7313827",0.75,"ver1"
"78","7313835",0.818181818181818,"ver1"
"80","7312442",0.3125,"ver1"
"81","7312436",0.25,"ver1"
