"","sub","Question","Response","age.cat","game"
"1","7321756","Question_1","No","Children","Lott-Coop"
"2","7321756","Question_3","No","Children","Lott-Comp"
"3","7321801","Question_1","No","Children","Lott-Coop"
"4","7321801","Question_3","Sì","Children","Lott-Comp"
"5","7321747","Question_1","Sì","Children","Lott-Coop"
"6","7321747","Question_3","Sì","Children","Lott-Comp"
"7","7321773","Question_1","No","Children","Lott-Coop"
"8","7321773","Question_3","No","Children","Lott-Comp"
"9","7321779","Question_1","Non so","Children","Lott-Coop"
"10","7321779","Question_3","No","Children","Lott-Comp"
"11","7321771","Question_1","Sì","Adolescents","Lott-Coop"
"12","7321771","Question_3","Non so","Adolescents","Lott-Comp"
"13","7321889","Question_1","No","Adolescents","Lott-Coop"
"14","7321889","Question_3","No","Adolescents","Lott-Comp"
"15","7321892","Question_1","Sì","Adolescents","Lott-Coop"
"16","7321892","Question_3","No","Adolescents","Lott-Comp"
"17","7321894","Question_1","Sì","Adolescents","Lott-Coop"
"18","7321894","Question_3","No","Adolescents","Lott-Comp"
"19","7321885","Question_1","Sì","Adolescents","Lott-Coop"
"20","7321885","Question_3","No","Adolescents","Lott-Comp"
"21","7322042","Question_1","Sì","Adolescents","Lott-Coop"
"22","7322042","Question_3","No","Adolescents","Lott-Comp"
"23","7322029","Question_1","Sì","Adolescents","Lott-Coop"
"24","7322029","Question_3","No","Adolescents","Lott-Comp"
"25","7322036","Question_1","Sì","Adolescents","Lott-Coop"
"26","7322036","Question_3","No","Adolescents","Lott-Comp"
"27","7322024","Question_1","Sì","Adolescents","Lott-Coop"
"28","7322024","Question_3","Sì","Adolescents","Lott-Comp"
"29","7322041","Question_1","Sì","Adolescents","Lott-Coop"
"30","7322041","Question_3","No","Adolescents","Lott-Comp"
"31","7322038","Question_1","No","Adolescents","Lott-Coop"
"32","7322038","Question_3","No","Adolescents","Lott-Comp"
"33","7322040","Question_1","Sì","Adolescents","Lott-Coop"
"34","7322040","Question_3","No","Adolescents","Lott-Comp"
"35","7322039","Question_1","Non so","Adolescents","Lott-Coop"
"36","7322039","Question_3","Sì","Adolescents","Lott-Comp"
"37","7322022","Question_1","Non so","Adolescents","Lott-Coop"
"38","7322022","Question_3","No","Adolescents","Lott-Comp"
"39","7322026","Question_1","No","Adolescents","Lott-Coop"
"40","7322026","Question_3","No","Adolescents","Lott-Comp"
"41","7322028","Question_1","No","Adolescents","Lott-Coop"
"42","7322028","Question_3","No","Adolescents","Lott-Comp"
"43","7322030","Question_1","No","Adolescents","Lott-Coop"
"44","7322030","Question_3","No","Adolescents","Lott-Comp"
"45","7322031","Question_1","Sì","Adolescents","Lott-Coop"
"46","7322031","Question_3","No","Adolescents","Lott-Comp"
"47","7322035","Question_1","No","Adolescents","Lott-Coop"
"48","7322035","Question_3","No","Adolescents","Lott-Comp"
"49","7322032","Question_1","No","Adolescents","Lott-Coop"
"50","7322032","Question_3","No","Adolescents","Lott-Comp"
"51","7322033","Question_1","No","Adolescents","Lott-Coop"
"52","7322033","Question_3","No","Adolescents","Lott-Comp"
"53","7322037","Question_1","No","Adolescents","Lott-Coop"
"54","7322037","Question_3","No","Adolescents","Lott-Comp"
"55","7322034","Question_1","Non so","Adolescents","Lott-Coop"
"56","7322034","Question_3","Non so","Adolescents","Lott-Comp"
"57","7322021","Question_1","Sì","Adolescents","Lott-Coop"
"58","7322021","Question_3","No","Adolescents","Lott-Comp"
"59","7322025","Question_1","Sì","Adolescents","Lott-Coop"
"60","7322025","Question_3","Sì","Adolescents","Lott-Comp"
"61","7322081","Question_1","No","Adolescents","Lott-Coop"
"62","7322081","Question_3","No","Adolescents","Lott-Comp"
"63","7322046","Question_1","No","Adolescents","Lott-Coop"
"64","7322046","Question_3","Sì","Adolescents","Lott-Comp"
"65","7322023","Question_1","Sì","Adolescents","Lott-Coop"
"66","7322023","Question_3","No","Adolescents","Lott-Comp"
"67","7321893","Question_1","Sì","Adolescents","Lott-Coop"
"68","7321893","Question_3","Sì","Adolescents","Lott-Comp"
"69","7321887","Question_1","No","Adolescents","Lott-Coop"
"70","7321887","Question_3","No","Adolescents","Lott-Comp"
"71","7321888","Question_1","No","Adolescents","Lott-Coop"
"72","7321888","Question_3","No","Adolescents","Lott-Comp"
"73","7321897","Question_1","No","Adolescents","Lott-Coop"
"74","7321897","Question_3","No","Adolescents","Lott-Comp"
"75","7321891","Question_1","Sì","Adolescents","Lott-Coop"
"76","7321891","Question_3","Sì","Adolescents","Lott-Comp"
"77","7321883","Question_1","Sì","Adolescents","Lott-Coop"
"78","7321883","Question_3","No","Adolescents","Lott-Comp"
"79","7321890","Question_1","No","Adolescents","Lott-Coop"
"80","7321890","Question_3","No","Adolescents","Lott-Comp"
"81","7321895","Question_1","Sì","Adolescents","Lott-Coop"
"82","7321895","Question_3","No","Adolescents","Lott-Comp"
"83","7321886","Question_1","No","Adolescents","Lott-Coop"
"84","7321886","Question_3","No","Adolescents","Lott-Comp"
"85","7321896","Question_1","No","Adolescents","Lott-Coop"
"86","7321896","Question_3","No","Adolescents","Lott-Comp"
"87","7321884","Question_1","No","Adolescents","Lott-Coop"
"88","7321884","Question_3","No","Adolescents","Lott-Comp"
"89","7321853","Question_1","Sì","Adolescents","Lott-Coop"
"90","7321853","Question_3","Sì","Adolescents","Lott-Comp"
"91","7321742","Question_1","Non so","Children","Lott-Coop"
"92","7321742","Question_3","Sì","Children","Lott-Comp"
"93","7321752","Question_1","Sì","Adolescents","Lott-Coop"
"94","7321752","Question_3","Sì","Adolescents","Lott-Comp"
"95","7321766","Question_1","Non so","Children","Lott-Coop"
"96","7321766","Question_3","Non so","Children","Lott-Comp"
"97","7321755","Question_1","Sì","Adolescents","Lott-Coop"
"98","7321755","Question_3","No","Adolescents","Lott-Comp"
"99","7321784","Question_1","Sì","Children","Lott-Coop"
"100","7321784","Question_3","Non so","Children","Lott-Comp"
"101","7321788","Question_1","Non so","Children","Lott-Coop"
"102","7321788","Question_3","Non so","Children","Lott-Comp"
"103","7321842","Question_1","Sì","Children","Lott-Coop"
"104","7321842","Question_3","Sì","Children","Lott-Comp"
"105","7321751","Question_1","No","Children","Lott-Coop"
"106","7321751","Question_3","No","Children","Lott-Comp"
"107","7321744","Question_1","No","Adolescents","Lott-Coop"
"108","7321744","Question_3","No","Adolescents","Lott-Comp"
