"","sub","Question","Response","age.cat"
"1","7321756","Question_1","No","Children"
"2","7321756","Question_3","No","Children"
"3","7321756","Question_4","non sono cambiate","Children"
"4","7321756","Question_5","8","Children"
"5","7321756","Question_6","10","Children"
"6","7321756","Question_7","10","Children"
"7","7321756","Question_8","8","Children"
"8","7321801","Question_1","No","Children"
"9","7321801","Question_3","Sì","Children"
"10","7321801","Question_5","6","Children"
"11","7321801","Question_6","6","Children"
"12","7321801","Question_7","5","Children"
"13","7321801","Question_8","4","Children"
"14","7321747","Question_1","Sì","Children"
"15","7321747","Question_3","Sì","Children"
"16","7321747","Question_5","7","Children"
"17","7321747","Question_6","10","Children"
"18","7321747","Question_7","5","Children"
"19","7321747","Question_8","5","Children"
"20","7321773","Question_1","No","Children"
"21","7321773","Question_3","No","Children"
"22","7321773","Question_5","5","Children"
"23","7321773","Question_6","5","Children"
"24","7321773","Question_7","5","Children"
"25","7321773","Question_8","5","Children"
"26","7321779","Question_1","Non so","Children"
"27","7321779","Question_3","No","Children"
"28","7321779","Question_5","4","Children"
"29","7321779","Question_6","10","Children"
"30","7321779","Question_7","4","Children"
"31","7321779","Question_8","10","Children"
"32","7321771","Question_1","Sì","Adolescents"
"33","7321771","Question_3","Non so","Adolescents"
"34","7321771","Question_5","6","Adolescents"
"35","7321771","Question_6","9","Adolescents"
"36","7321771","Question_7","7","Adolescents"
"37","7321771","Question_8","7","Adolescents"
"38","7321889","Question_1","No","Adolescents"
"39","7321889","Question_3","No","Adolescents"
"40","7321889","Question_5","8","Adolescents"
"41","7321889","Question_6","7","Adolescents"
"42","7321889","Question_7","9","Adolescents"
"43","7321889","Question_8","9","Adolescents"
"44","7321892","Question_1","Sì","Adolescents"
"45","7321892","Question_3","No","Adolescents"
"46","7321892","Question_5","5","Adolescents"
"47","7321892","Question_6","0","Adolescents"
"48","7321892","Question_7","8","Adolescents"
"49","7321892","Question_8","0","Adolescents"
"50","7321894","Question_1","Sì","Adolescents"
"51","7321894","Question_2","perchè ho fatto la scelta opposta ovvero se il mio compagno nel mini tesoro ci sono poche monete sllora tenta in caso se invece ce ne sono tante prende il mini tesoro ","Adolescents"
