"","sub","post_delta_ref"
"1","7312338",-3
"2","7312339",10
"3","7312340",1
"4","7312341",-3
"5","7312343",0
"6","7312344",-7
"7","7312345",-4
"8","7312346",-2
"9","7312347",2
"10","7312348",-20
"11","7312349",0
"12","7312350",1
"13","7312351",0
"14","7312353",0
"15","7312354",3
"16","7312355",0
"17","7312356",-2
"18","7312357",2
"19","7312358",-5
"20","7312366",4
"21","7312367",-6
"22","7312430",-9
"23","7312431",-8
"24","7312432",-7
"25","7312433",-10
"26","7312434",-12
"27","7312435",6
"28","7312436",0
"29","7312437",0
"30","7312438",-14
"31","7312439",-2
"32","7312440",-8
"33","7312441",-3
"34","7312442",-5
"35","7312443",-11
"36","7312444",0
"37","7312445",0
"38","7312446",-5
"39","7312449",5
"40","7312450",-20
"41","7312454",-10
"42","7312607",-5
"43","7312608",3
"44","7312612",-8
"45","7312613",3
"46","7312614",4
"47","7312616",-4
"48","7312617",-3
"49","7312618",5
"50","7312619",2
"51","7312620",9
"52","7312621",5
"53","7312623",0
"54","7312624",6
"55","7312625",2
"56","7312626",0
"57","7312627",-13
"58","7312628",0
"59","7312629",-9
"60","7312658",-8
"61","7312665",-3
"62","7312667",7
"63","7312776",2
"64","7312947",-2
"65","7312948",0
"66","7312949",-4
"67","7312952",-7
"68","7312953",9
"69","7312954",5
"70","7312955",-10
"71","7312956",-10
"72","7312957",-10
"73","7312958",0
"74","7312959",-10
"75","7312960",5
"76","7312961",5
"77","7312962",8
"78","7312963",-3
"79","7312964",-12
"80","7312965",0
"81","7312966",-6
"82","7312967",5
"83","7312968",-2
"84","7312969",0
"85","7312970",-19
"86","7312998",3
"87","7313002",-1
"88","7313088",8
"89","7313403",-12
"90","7313404",-3
"91","7313405",-8
"92","7313406",-12
"93","7313407",-1
"94","7313408",6
"95","7313409",0
"96","7313410",5
"97","7313411",-20
"98","7313412",-7
"99","7313413",6
"100","7313414",-3
"101","7313415",-8
"102","7313417",8
"103","7313419",-14
"104","7313420",-5
"105","7313421",0
"106","7313422",-20
"107","7313423",0
"108","7313425",-11
"109","7313826",-18
"110","7313827",-3
"111","7313828",4
"112","7313829",-8
"113","7313830",-4
"114","7313831",4
"115","7313832",2
"116","7313833",-14
"117","7313834",-20
"118","7313835",-16
"119","7313836",0
"120","7313837",-16
"121","7313838",-6
"122","7313839",0
"123","7313840",-20
"124","7313841",-2
"125","7313843",-5
"126","7313844",13
"127","7313845",0
"128","7313865",0
"129","7321742",3
"130","7321744",-6
"131","7321747",3
"132","7321748",1
"133","7321751",0
"134","7321752",0
"135","7321753",0
"136","7321755",2
"137","7321756",0
"138","7321758",-2
"139","7321760",0
"140","7321766",-6
"141","7321771",3
"142","7321773",0
"143","7321779",12
"144","7321784",-13
"145","7321788",0
"146","7321801",-1
"147","7321842",0
"148","7321853",-1
"149","7321883",-20
"150","7321884",-18
"151","7321885",-3
"152","7321886",0
"153","7321887",-1
"154","7321888",4
"155","7321889",-1
"156","7321890",-4
"157","7321891",-6
"158","7321892",-13
"159","7321893",0
"160","7321894",-6
"161","7321895",1
"162","7321896",-3
"163","7321897",0
"164","7322021",8
"165","7322022",-13
"166","7322023",1
"167","7322024",4
"168","7322025",1
"169","7322026",7
"170","7322028",-4
"171","7322029",-9
"172","7322030",6
