"","sub","game","Response","Reaction.Time","q_nr","age.cat"
"1","7321784","general","Vero",8817.40100000223,1,"Children"
"2","7321784","general","Falso",6479.39700000224,2,"Children"
"3","7321784","general","Falso",3498.92500000149,3,"Children"
"4","7321784","general","Falso",3397.50500000297,4,"Children"
"5","7321784","general","Vero",19943.5560000015,5,"Children"
"6","7321784","coordination","Niente",79.3560000007419,1,"Children"
"7","7321784","coordination","2",25515.756000003,1,"Children"
"8","7321784","coordination","Niente",8918.33100000075,2,"Children"
"9","7321784","coordination","15",9683.78100000299,3,"Children"
"10","7321784","coordination","15",6923.05700000297,4,"Children"
"11","7321784","coordination","R2",42774.479,5,"Children"
"12","7321784","competition","Niente",77.2080000014976,1,"Children"
"13","7321784","competition","4",38123.9080000008,1,"Children"
"14","7321784","competition","15",12276.213,2,"Children"
"15","7321784","competition","15",5478.35500000001,3,"Children"
"16","7321784","competition","4",2086.08900000073,4,"Children"
"17","7321784","competition","R1",11223.1370000015,5,"Children"
"18","7321784","lottery","Niente",60.187000003003,1,"Children"
"19","7321784","lottery","Niente",6237.38700000226,1,"Children"
"20","7321784","lottery","Niente",6303.78700000077,1,"Children"
"21","7321784","lottery","10",10138.2910000001,1,"Children"
"22","7321784","lottery","R1",8566.63700000226,2,"Children"
"23","7321784","lottery","15",6406.52600000001,3,"Children"
"24","7321786","general","Vero",3641.499,1,"Adolescents"
"25","7321786","general","Falso",2254.83600001192,2,"Adolescents"
"26","7321786","general","Falso",2796.05900000596,3,"Adolescents"
"27","7321786","general","Falso",5022.32900000596,4,"Adolescents"
"28","7321786","general","Vero",2864.78400000894,5,"Adolescents"
"29","7321786","coordination","2",14413.506,1,"Adolescents"
"30","7321786","coordination","Niente",3054.60800001193,2,"Adolescents"
"31","7321786","coordination","15",11038.879000006,3,"Adolescents"
"32","7321786","coordination","15",2311.52800000297,4,"Adolescents"
"33","7321786","coordination","R2",9036.284,5,"Adolescents"
"34","7321786","competition","Niente",334.099000000002,1,"Adolescents"
"35","7321786","competition","4",14673.067,1,"Adolescents"
"36","7321786","competition","15",2104.34199999998,2,"Adolescents"
"37","7321786","competition","15",5227.28699999998,3,"Adolescents"
"38","7321786","competition","4",1153.10300000297,4,"Adolescents"
"39","7321786","competition","R1",3556.14499999999,5,"Adolescents"
"40","7321786","lottery","Niente",95.3720000089379,1,"Adolescents"
"41","7321786","lottery","10",10599.172000006,1,"Adolescents"
"42","7321786","lottery","R1",6021.63700000895,2,"Adolescents"
"43","7321786","lottery","15",5234.02100000001,3,"Adolescents"
"44","7321842","general","Vero",5992.15700000019,1,"Children"
"45","7321842","general","Falso",2199.648,2,"Children"
"46","7321842","general","Falso",3849.70800000028,3,"Children"
"47","7321842","general","Falso",2830.11200000019,4,"Children"
"48","7321842","general","Vero",5186.52700000019,5,"Children"
"49","7321842","coordination","Niente",62.530000000188,1,"Children"
"50","7321842","coordination","2",11523.6300000003,1,"Children"
"51","7321842","coordination","Niente",8784.996,2,"Children"
"52","7321842","coordination","15",14783.037,3,"Children"
"53","7321842","coordination","15",10882.7090000002,4,"Children"
"54","7321842","coordination","R1",7157.46599999991,5,"Children"
"55","7321842","coordination","R1",7198.493,5,"Children"
"56","7321842","coordination","R2",11149.1660000001,5,"Children"
"57","7321842","competition","Niente",77.5010000000912,1,"Children"
"58","7321842","competition","4",26264.7010000003,1,"Children"
"59","7321842","competition","15",3722.62900000009,2,"Children"
"60","7321842","competition","Niente",4041.2649999999,3,"Children"
"61","7321842","competition","Niente",4089.16500000027,3,"Children"
"62","7321842","competition","15",5528.80699999997,3,"Children"
"63","7321842","competition","4",2120.47900000028,4,"Children"
"64","7321842","competition","R1",2480.3030000001,5,"Children"
"65","7321842","lottery","Niente",95.9070000000065,1,"Children"
"66","7321842","lottery","15",2329.70700000029,1,"Children"
"67","7321842","lottery","15",2379.20700000029,1,"Children"
"68","7321842","lottery","10",3371.20700000029,1,"Children"
"69","7321842","lottery","R2",1369.61399999997,2,"Children"
"70","7321842","lottery","R2",1419.72199999998,2,"Children"
"71","7321842","lottery","R1",2653.48499999999,2,"Children"
"72","7321842","lottery","10",2780.59600000028,3,"Children"
"73","7321842","lottery","10",2834.8960000001,3,"Children"
"74","7321842","lottery","15",3941.84499999997,3,"Children"
"75","7321845","general","Vero",3935.59399999972,1,"Children"
"76","7321845","general","Falso",4050.95199999981,2,"Children"
"77","7321845","general","Falso",4936.532,3,"Children"
"78","7321845","general","Falso",2954.11100000009,4,"Children"
"79","7321845","general","Vero",5060.26199999991,5,"Children"
"80","7321845","coordination","Niente",62.7699999999968,1,"Children"
"81","7321845","coordination","2",17563.6699999999,1,"Children"
"82","7321845","coordination","Niente",8501.46800000001,2,"Children"
"83","7321845","coordination","15",6471.61199999999,3,"Children"
"84","7321845","coordination","15",13852.1060000001,4,"Children"
"85","7321845","coordination","R2",20203.1069999999,5,"Children"
"86","7321845","competition","Niente",83.5109999999986,1,"Children"
"87","7321845","competition","Niente",26188.0210000001,1,"Children"
"88","7321845","competition","Niente",26237.2209999998,1,"Children"
"89","7321845","competition","4",27965.0210000001,1,"Children"
"90","7321845","competition","15",6881.27699999971,2,"Children"
"91","7321845","competition","Niente",10597.1069999999,3,"Children"
"92","7321845","competition","Niente",10623.409,3,"Children"
"93","7321845","competition","15",23274.1069999999,3,"Children"
"94","7321845","competition","4",10305.0390000001,4,"Children"
"95","7321845","competition","R1",22189.1019999997,5,"Children"
"96","7321845","lottery","Niente",69.0739999997313,1,"Children"
"97","7321845","lottery","Niente",5541.67399999982,1,"Children"
"98","7321845","lottery","Niente",5583.4740000001,1,"Children"
"99","7321845","lottery","10",24099.464,1,"Children"
"100","7321845","lottery","R1",7990.91900000008,2,"Children"
"101","7321845","lottery","15",19443.299,3,"Children"
"102","7321853","general","Vero",7109.84699996424,1,"Adolescents"
"103","7321853","general","Falso",4049.32099998808,2,"Adolescents"
"104","7321853","general","Falso",5286.25799998808,3,"Adolescents"
"105","7321853","general","Falso",6572.61099998807,4,"Adolescents"
"106","7321853","general","Vero",9386.72500000001,5,"Adolescents"
"107","7321853","coordination","Niente",99.6199999642413,1,"Adolescents"
"108","7321853","coordination","2",14062.6199999642,1,"Adolescents"
"109","7321853","coordination","2",3653.80699998808,2,"Adolescents"
"110","7321853","coordination","2",3741.319,2,"Adolescents"
"111","7321853","coordination","2",6389.70699996424,2,"Adolescents"
"112","7321853","coordination","2",6462.40700001192,2,"Adolescents"
"113","7321853","coordination","Niente",9012.70699996424,2,"Adolescents"
"114","7321853","coordination","15",12286.5519999881,3,"Adolescents"
"115","7321853","coordination","15",36349.6719999881,4,"Adolescents"
"116","7321853","coordination","R2",38780.406,5,"Adolescents"
"117","7321853","competition","Niente",109.116999999998,1,"Adolescents"
