"","game","q_nr","age.cat","least_one_tot","prc_error"
"1","coordination",1,"Children",58,38.6666666666667
"2","coordination",1,"Adolescents",66,44.8979591836735
"3","coordination",1,"Adults",61,21.3286713286713
"4","coordination",2,"Children",64,42.6666666666667
"5","coordination",2,"Adolescents",58,39.4557823129252
"6","coordination",2,"Adults",61,21.3286713286713
"7","coordination",3,"Children",36,24
"8","coordination",3,"Adolescents",27,18.3673469387755
"9","coordination",3,"Adults",7,2.44755244755245
"10","coordination",4,"Children",30,20
"11","coordination",4,"Adolescents",28,19.047619047619
"12","coordination",4,"Adults",7,2.44755244755245
"13","coordination",5,"Children",34,22.6666666666667
"14","coordination",5,"Adolescents",17,11.5646258503401
"15","coordination",5,"Adults",3,1.04895104895105
"16","competition",1,"Children",43,28.6666666666667
"17","competition",1,"Adolescents",60,40.8163265306122
"18","competition",1,"Adults",22,7.69230769230769
"19","competition",2,"Children",46,30.6666666666667
"20","competition",2,"Adolescents",41,27.891156462585
"21","competition",2,"Adults",33,11.5384615384615
"22","competition",3,"Children",38,25.3333333333333
"23","competition",3,"Adolescents",37,25.1700680272109
"24","competition",3,"Adults",16,5.59440559440559
"25","competition",4,"Children",33,22
"26","competition",4,"Adolescents",27,18.3673469387755
"27","competition",4,"Adults",17,5.94405594405594
"28","competition",5,"Children",39,26
"29","competition",5,"Adolescents",46,31.2925170068027
"30","competition",5,"Adults",23,8.04195804195804
"31","lottery",1,"Children",69,46
"32","lottery",1,"Adolescents",77,52.3809523809524
"33","lottery",1,"Adults",64,22.3776223776224
"34","lottery",2,"Children",36,24
"35","lottery",2,"Adolescents",44,29.9319727891156
"36","lottery",2,"Adults",39,13.6363636363636
"37","lottery",3,"Children",33,22
"38","lottery",3,"Adolescents",41,27.891156462585
"39","lottery",3,"Adults",25,8.74125874125874
"40","general",1,"Children",18,12
"41","general",1,"Adolescents",11,7.48299319727891
"42","general",1,"Adults",14,4.89510489510489
"43","general",2,"Children",30,20
"44","general",2,"Adolescents",15,10.2040816326531
"45","general",2,"Adults",9,3.14685314685315
"46","general",3,"Children",39,26
"47","general",3,"Adolescents",9,6.12244897959184
"48","general",3,"Adults",5,1.74825174825175
"49","general",4,"Children",13,8.66666666666667
"50","general",4,"Adolescents",14,9.52380952380952
"51","general",4,"Adults",5,1.74825174825175
"52","general",5,"Children",27,18
"53","general",5,"Adolescents",14,9.52380952380952
"54","general",5,"Adults",27,9.44055944055944
