"","sub","age.cat","pre_err"
"1","7312338","Adolescents",22
"2","7312339","Adolescents",2
"3","7312340","Adolescents",8
"4","7312341","Adolescents",6
"5","7312343","Adolescents",18
"6","7312344","Adolescents",6
"7","7312345","Adolescents",1
"8","7312346","Adolescents",6
"9","7312347","Adolescents",1
"10","7312348","Adolescents",0
"11","7312349","Adolescents",10
"12","7312350","Adolescents",3
"13","7312351","Adolescents",6
"14","7312353","Adolescents",0
"15","7312354","Adolescents",13
"16","7312355","Adolescents",26
"17","7312356","Adolescents",36
"18","7312357","Adolescents",7
"19","7312358","Adolescents",0
"20","7312366","Adolescents",2
"21","7312367","Adolescents",2
"22","7312430","Adolescents",2
"23","7312431","Adolescents",1
"24","7312432","Adolescents",4
"25","7312433","Adolescents",8
"26","7312434","Adolescents",8
"27","7312435","Adolescents",10
"28","7312436","Adolescents",11
"29","7312437","Adolescents",8
"30","7312438","Adolescents",3
"31","7312439","Adolescents",21
"32","7312440","Adolescents",4
"33","7312441","Adolescents",0
"34","7312442","Adolescents",6
"35","7312443","Adolescents",4
"36","7312444","Adolescents",17
"37","7312445","Adolescents",1
"38","7312446","Adolescents",1
"39","7312449","Adolescents",7
"40","7312450","Adolescents",21
"41","7312454","Adolescents",1
"42","7312607","Children",1
"43","7312608","Children",6
"44","7312612","Adolescents",0
"45","7312613","Children",7
"46","7312614","Children",20
"47","7312615","Adolescents",0
"48","7312616","Children",16
"49","7312617","Adolescents",35
"50","7312618","Adolescents",7
"51","7312619","Adolescents",12
"52","7312620","Children",22
"53","7312621","Adolescents",10
"54","7312623","Children",11
"55","7312624","Children",3
"56","7312625","Adolescents",1
"57","7312626","Adolescents",19
"58","7312627","Children",7
"59","7312628","Adolescents",21
"60","7312629","Children",4
"61","7312658","Children",2
"62","7312665","Children",1
"63","7312667","Adolescents",0
"64","7312776","Children",18
"65","7312947","Adolescents",24
"66","7312948","Children",6
"67","7312949","Children",6
"68","7312952","Children",6
"69","7312953","Children",10
"70","7312954","Adolescents",8
"71","7312955","Adolescents",26
"72","7312956","Children",29
"73","7312957","Children",31
"74","7312958","Children",0
"75","7312959","Adolescents",25
"76","7312960","Children",3
"77","7312961","Adolescents",3
"78","7312962","Children",1
"79","7312963","Children",2
"80","7312964","Children",2
"81","7312965","Adolescents",6
"82","7312966","Adolescents",12
"83","7312967","Children",2
"84","7312968","Children",0
"85","7312969","Adolescents",4
"86","7312970","Adolescents",3
"87","7312998","Adolescents",17
"88","7313002","Children",5
"89","7313088","Children",4
"90","7313403","Adolescents",8
"91","7313404","Adolescents",0
"92","7313405","Adolescents",0
"93","7313406","Adolescents",4
"94","7313407","Adolescents",1
"95","7313408","Adolescents",5
"96","7313409","Adolescents",10
"97","7313410","Adolescents",1
"98","7313411","Adolescents",1
"99","7313412","Adolescents",3
"100","7313413","Adolescents",2
"101","7313414","Adolescents",8
"102","7313415","Adolescents",4
"103","7313417","Adolescents",2
"104","7313419","Adolescents",0
"105","7313420","Adolescents",11
"106","7313421","Adolescents",6
"107","7313422","Adolescents",4
"108","7313423","Adolescents",8
"109","7313425","Adolescents",11
"110","7313826","Adolescents",10
"111","7313827","Adolescents",2
"112","7313828","Adolescents",4
"113","7313829","Adolescents",17
"114","7313830","Adolescents",5
"115","7313831","Adolescents",8
"116","7313832","Adolescents",2
"117","7313833","Adolescents",0
"118","7313834","Adolescents",14
"119","7313835","Adolescents",3
"120","7313836","Adolescents",3
"121","7313837","Adolescents",13
"122","7313838","Adolescents",0
"123","7313839","Adolescents",2
"124","7313840","Adolescents",4
"125","7313841","Adolescents",10
"126","7313843","Adolescents",12
"127","7313844","Adolescents",21
"128","7313845","Adolescents",16
"129","7313865","Adolescents",6
"130","7321742","Children",20
"131","7321744","Adolescents",25
"132","7321747","Children",7
"133","7321748","Children",4
"134","7321751","Children",50
"135","7321752","Adolescents",21
"136","7321753","Adolescents",33
"137","7321755","Adolescents",4
"138","7321756","Children",6
"139","7321758","Adolescents",2
"140","7321760","Children",19
"141","7321766","Children",21
"142","7321771","Adolescents",5
"143","7321773","Children",31
"144","7321779","Children",5
"145","7321784","Children",5
"146","7321786","Adolescents",2
"147","7321788","Children",23
"148","7321801","Children",27
"149","7321842","Children",13
"150","7321845","Children",9
"151","7321853","Adolescents",13
"152","7321883","Adolescents",11
"153","7321884","Adolescents",12
"154","7321885","Adolescents",9
"155","7321886","Adolescents",28
"156","7321887","Adolescents",11
"157","7321888","Adolescents",6
"158","7321889","Adolescents",9
"159","7321890","Adolescents",9
"160","7321891","Adolescents",6
"161","7321892","Adolescents",19
"162","7321893","Adolescents",7
"163","7321894","Adolescents",2
"164","7321895","Adolescents",13
"165","7321896","Adolescents",0
"166","7321897","Adolescents",21
"167","7322021","Adolescents",15
"168","7322022","Adolescents",15
"169","7322023","Adolescents",15
"170","7322024","Adolescents",25
"171","7322025","Adolescents",17
"172","7322026","Adolescents",12
"173","7322028","Adolescents",5
"174","7322029","Adolescents",5
"175","7322030","Adolescents",5
"176","7322031","Adolescents",5
"177","7322032","Adolescents",21
"178","7322033","Adolescents",5
"179","7322034","Adolescents",9
"180","7322035","Adolescents",4
"181","7322036","Adolescents",7
"182","7322037","Adolescents",21
"183","7322038","Adolescents",3
"184","7322039","Adolescents",0
"185","7322040","Adolescents",5
"186","7322041","Adolescents",9
"187","7322042","Adolescents",0
"188","7322046","Adolescents",3
"189","7322081","Adolescents",3
"190","8616932","Adults",1
"191","8623989","Adults",2
"192","8623990","Adults",3
"193","8623991","Adults",0
"194","8623992","Adults",2
"195","8623993","Adults",0
"196","8623995","Adults",0
"197","8623996","Adults",1
"198","8623997","Adults",4
"199","8623998","Adults",1
"200","8623999","Adults",11
"201","8624000","Adults",1
"202","8624001","Adults",3
"203","8624002","Adults",11
"204","8624003","Adults",0
"205","8624004","Adults",1
"206","8624005","Adults",1
"207","8624006","Adults",0
"208","8624007","Adults",15
"209","8624008","Adults",2
"210","8624009","Adults",9
"211","8624010","Adults",2
"212","8624011","Adults",2
"213","8624012","Adults",0
"214","8624013","Adults",0
"215","8624014","Adults",0
"216","8624015","Adults",2
"217","8624016","Adults",0
"218","8624017","Adults",1
"219","8624018","Adults",0
"220","8624019","Adults",1
"221","8624020","Adults",0
"222","8624021","Adults",5
"223","8624022","Adults",0
"224","8624023","Adults",1
"225","8624024","Adults",2
"226","8624025","Adults",3
"227","8624026","Adults",2
"228","8624027","Adults",2
"229","8624028","Adults",2
"230","8624029","Adults",2
"231","8624030","Adults",0
"232","8624031","Adults",0
"233","8624032","Adults",0
"234","8624033","Adults",0
"235","8624034","Adults",0
"236","8624035","Adults",0
"237","8624037","Adults",0
"238","8624039","Adults",1
"239","8624040","Adults",4
"240","8624041","Adults",0
"241","8624042","Adults",2
"242","8624043","Adults",0
"243","8624044","Adults",0
"244","8624045","Adults",4
"245","8624046","Adults",1
"246","8624048","Adults",3
"247","8624050","Adults",0
"248","8624051","Adults",0
"249","8624052","Adults",0
"250","8624053","Adults",2
"251","8624054","Adults",2
"252","8624055","Adults",0
"253","8624056","Adults",0
"254","8624057","Adults",0
"255","8624058","Adults",0
"256","8624059","Adults",4
"257","8624062","Adults",0
"258","8624063","Adults",0
"259","8624064","Adults",8
"260","8624065","Adults",3
"261","8624066","Adults",1
"262","8624067","Adults",0
"263","8624068","Adults",2
"264","8624069","Adults",1
"265","8624070","Adults",2
"266","8624072","Adults",1
"267","8624073","Adults",1
"268","8624074","Adults",0
"269","8624077","Adults",2
"270","8624078","Adults",0
"271","8624087","Adults",0
"272","8624088","Adults",0
"273","8624091","Adults",7
"274","8624092","Adults",4
"275","8624093","Adults",5
"276","8624094","Adults",2
"277","8624097","Adults",2
"278","8624109","Adults",11
"279","8624113","Adults",0
"280","8624117","Adults",2
"281","8624122","Adults",11
"282","8624142","Adults",4
"283","8624144","Adults",2
"284","8624156","Adults",0
"285","8624170","Adults",4
"286","8624173","Adults",2
"287","8624179","Adults",2
"288","8624204","Adults",21
"289","8716020","Adults",0
"290","8716022","Adults",0
"291","8722108","Adults",2
"292","8722109","Adults",1
"293","8722110","Adults",1
"294","8728565","Adults",5
"295","8728566","Adults",2
"296","8728567","Adults",0
"297","8728568","Adults",1
"298","8728569","Adults",1
"299","8728570","Adults",0
"300","8728571","Adults",1
"301","8728572","Adults",1
"302","8728573","Adults",2
"303","8728574","Adults",0
"304","8728575","Adults",3
"305","8728576","Adults",5
"306","8728577","Adults",0
"307","8728578","Adults",1
"308","8728579","Adults",0
"309","8728581","Adults",2
"310","8728582","Adults",0
"311","8728583","Adults",1
"312","8728585","Adults",0
"313","8728586","Adults",0
"314","8728587","Adults",2
"315","8728588","Adults",0
"316","8728589","Adults",1
"317","8728607","Adults",8
"318","8728610","Adults",3
"319","8728615","Adults",3
"320","8728621","Adults",4
"321","8728622","Adults",2
"322","8728623","Adults",1
"323","8728624","Adults",1
"324","8728625","Adults",1
"325","8728631","Adults",0
"326","8728634","Adults",3
"327","8728654","Adults",2
"328","8743736","Adults",2
"329","8743737","Adults",0
"330","8743738","Adults",5
"331","8743740","Adults",2
"332","8743741","Adults",3
"333","8750031","Adults",8
"334","8750033","Adults",11
"335","8750034","Adults",0
"336","8750275","Adults",10
"337","8750278","Adults",8
"338","8750281","Adults",0
"339","8756676","Adults",2
"340","8756704","Adults",8
"341","8756708","Adults",1
"342","8758609","Adults",8
"343","8758610","Adults",2
"344","8758611","Adults",2
"345","8758613","Adults",4
"346","8758719","Adults",4
"347","8765800","Adults",2
"348","8765802","Adults",3
"349","8766696","Adults",2
"350","8766697","Adults",5
"351","8766698","Adults",0
"352","8766699","Adults",2
"353","8766700","Adults",0
"354","8766701","Adults",1
"355","8766702","Adults",3
"356","8766703","Adults",0
"357","8766704","Adults",3
"358","8766705","Adults",4
"359","8766943","Adults",2
"360","8766944","Adults",0
"361","8766945","Adults",0
"362","8766946","Adults",3
"363","8766947","Adults",0
"364","8766948","Adults",3
"365","8766950","Adults",9
"366","8766951","Adults",0
"367","8766952","Adults",2
"368","8766972","Adults",3
"369","9818103","Adults",0
"370","9818104","Adults",1
"371","9818105","Adults",0
"372","9818106","Adults",1
"373","9818107","Adults",0
"374","9818108","Adults",1
"375","9818109","Adults",1
"376","9818110","Adults",1
"377","9818111","Adults",0
"378","9818113","Adults",0
"379","9818114","Adults",0
"380","9818115","Adults",0
"381","9818116","Adults",1
"382","9818117","Adults",0
"383","9818119","Adults",2
"384","9818120","Adults",0
"385","9818121","Adults",0
"386","9818122","Adults",5
"387","9818123","Adults",1
"388","9818124","Adults",1
"389","9818125","Adults",5
"390","9818126","Adults",0
"391","9818127","Adults",0
"392","9818128","Adults",1
"393","9818129","Adults",0
"394","9818130","Adults",2
"395","9818131","Adults",0
"396","9818132","Adults",3
"397","9818133","Adults",4
"398","9818134","Adults",0
"399","9818135","Adults",1
"400","9818136","Adults",0
"401","9818137","Adults",0
"402","9818138","Adults",0
"403","9818139","Adults",0
"404","9818140","Adults",1
"405","9818141","Adults",1
"406","9818142","Adults",1
"407","9818143","Adults",1
"408","9818144","Adults",5
"409","9818145","Adults",1
"410","9818146","Adults",5
"411","9818147","Adults",0
"412","9818148","Adults",0
"413","9818149","Adults",6
"414","9818150","Adults",0
"415","9818151","Adults",0
"416","9818152","Adults",2
"417","9818153","Adults",4
"418","9818155","Adults",0
"419","9818157","Adults",2
"420","9818158","Adults",6
"421","9818160","Adults",1
"422","9818161","Adults",2
"423","9818162","Adults",1
"424","9818163","Adults",2
"425","9818164","Adults",0
"426","9818165","Adults",4
"427","9818166","Adults",1
"428","9818167","Adults",0
"429","9818168","Adults",2
"430","9818169","Adults",1
"431","9818170","Adults",15
"432","9818171","Adults",0
"433","9818172","Adults",0
"434","9818173","Adults",2
"435","9818174","Adults",0
"436","9818175","Adults",0
"437","9818176","Adults",0
"438","9818177","Adults",3
"439","9818178","Adults",6
"440","9818179","Adults",3
"441","9818180","Adults",0
"442","9818181","Adults",4
"443","9818182","Adults",2
"444","9818183","Adults",0
"445","9818189","Adults",2
"446","9818193","Adults",1
"447","9818200","Adults",0
"448","9818216","Adults",0
"449","9818252","Adults",0
"450","9818256","Adults",1
"451","9859277","Adults",13
"452","9859694","Adults",0
"453","9859696","Adults",1
"454","9859697","Adults",1
"455","9859698","Adults",0
"456","9859699","Adults",1
"457","9859700","Adults",3
"458","9859701","Adults",0
"459","9859703","Adults",0
"460","9859704","Adults",0
"461","9859705","Adults",1
"462","9859706","Adults",1
"463","9859707","Adults",2
"464","9859708","Adults",1
"465","9859709","Adults",0
"466","9859710","Adults",3
"467","9859711","Adults",2
"468","9859712","Adults",0
"469","9859713","Adults",3
"470","9859716","Adults",2
"471","9859722","Adults",9
"472","9864881","Adults",1
"473","9864889","Adults",3
"474","9864890","Adults",3
"475","9865052","Adults",1
"476","10933689","Children",6
"477","10933690","Children",6
"478","10933691","Children",0
"479","10933692","Children",2
"480","10933693","Children",1
"481","10933694","Children",1
"482","10933695","Children",4
"483","10933696","Children",3
"484","10933697","Children",11
"485","10933698","Children",7
"486","10933699","Children",0
"487","10933700","Children",1
"488","10933701","Children",2
"489","10933702","Children",7
"490","10933703","Children",1
"491","10933704","Children",9
"492","10933705","Children",6
"493","10933876","Children",2
"494","10933877","Children",13
"495","10933878","Children",6
"496","10933879","Children",6
"497","10933880","Children",2
"498","10933881","Children",4
"499","10933882","Children",6
"500","10933884","Children",7
"501","10933885","Children",6
"502","10933886","Children",13
"503","10933887","Children",11
"504","10933888","Children",15
"505","10933889","Children",4
"506","10933890","Children",7
"507","10933892","Children",8
"508","10933893","Children",13
"509","10933894","Children",1
"510","10933895","Children",3
"511","10933896","Children",9
"512","10933897","Children",6
"513","10934054","Children",3
"514","10934055","Children",4
"515","10934056","Children",7
"516","10934057","Children",2
"517","10934058","Children",11
"518","10934059","Children",2
"519","10934060","Children",10
"520","10934061","Children",5
"521","10934062","Children",5
"522","10934063","Children",6
"523","10934064","Children",7
"524","10934065","Children",12
"525","10934066","Children",11
"526","10934067","Children",17
"527","10934068","Children",7
"528","10934069","Children",1
"529","10934070","Children",6
"530","10934071","Children",2
"531","10934074","Children",9
"532","10934355","Children",2
"533","10934356","Children",4
"534","10934357","Children",1
"535","10934358","Children",11
"536","10934359","Children",21
"537","10934360","Children",22
"538","10934361","Children",10
"539","10934362","Children",2
"540","10934363","Children",3
"541","10934364","Children",23
"542","10934365","Children",4
"543","10934366","Children",9
"544","10934367","Children",3
"545","10934368","Children",15
"546","10934369","Children",4
"547","10934370","Children",6
"548","10934371","Children",1
"549","10934372","Children",5
"550","10934373","Children",4
"551","10934374","Children",0
"552","10934375","Children",4
"553","10936479","Children",13
"554","10936484","Children",2
"555","10936489","Children",2
"556","10936497","Children",4
"557","10936551","Children",6
"558","10936553","Children",4
"559","10936554","Children",6
"560","10936555","Children",13
"561","10936556","Children",0
"562","10936557","Children",4
"563","10936558","Children",9
"564","10936559","Children",12
"565","10936560","Children",14
"566","10936561","Children",6
"567","10936562","Children",1
"568","10936563","Children",6
"569","10936564","Children",3
"570","10936580","Children",0
"571","10937247","Children",4
"572","10937297","Children",3
"573","10937298","Children",2
"574","10937299","Children",0
"575","10937300","Children",17
"576","10937301","Children",2
"577","10937302","Children",2
"578","10937303","Children",12
"579","10937304","Children",10
"580","10937305","Children",1
"581","10937306","Children",10
"582","10937308","Children",7
"583","10937309","Children",5
