"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"6",7322032,"lottery","trial",10032.0980000119,1,"left",14,"14.png","15soloseacaso.png",1,"SP","UP","SP",0,0,14
"8",7322032,"lottery","trial",10177.992,2,"left",5,"5.png","15soloseacaso.png",1,"SP","UP","SP",0,1,5
"10",7322032,"lottery","trial",5202.761,3,"left",2,"15soloseacaso.png","2.png",0,"UP","SP","UP",1,0,7.5
"12",7322032,"lottery","trial",3799.00800001192,4,"left",12,"12.png","15soloseacaso.png",0,"SP","UP","SP",0,0,12
"14",7322032,"lottery","trial",1694.34499999403,5,"right",7,"15soloseacaso.png","7.png",0,"UP","SP","SP",0,0,7
"16",7322032,"lottery","trial",1369.58000000002,6,"right",11,"15soloseacaso.png","11.png",0,"UP","SP","SP",0,0,11
"18",7322032,"lottery","trial",3047.09500001192,7,"left",8,"15soloseacaso.png","8.png",0,"UP","SP","UP",1,1,7.5
"20",7322032,"lottery","trial",1460.94699999403,8,"right",3,"15soloseacaso.png","3.png",0,"UP","SP","SP",0,1,3
"22",7322032,"lottery","trial",2102.94800001192,9,"left",1,"15soloseacaso.png","1.png",0,"UP","SP","UP",1,NA,7.5
"24",7322032,"lottery","trial",1612.25900000596,10,"right",6,"15soloseacaso.png","6.png",0,"UP","SP","SP",0,0,6
"26",7322032,"lottery","trial",1218.314,11,"left",13,"13.png","15soloseacaso.png",0,"SP","UP","SP",0,0,13
"28",7322032,"lottery","trial",1091.00700000596,12,"right",15,"15soloseacaso.png","15.png",0,"UP","SP","SP",0,0,15
"30",7322032,"lottery","trial",1369.59400000001,13,"right",10,"15soloseacaso.png","10.png",0,"UP","SP","SP",0,0,10
"32",7322032,"lottery","trial",2060.56099999404,14,"right",4,"4.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"34",7322032,"lottery","trial",1025.98699999999,15,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,1,9
"39",7322032,"coordination","trial",3264.36099998807,1,"left",14,"14.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,14
