"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"1",9818103,"coordination","trial",2261.30899999981,1,"left",12,"15soloseinsieme.png","12.png",0,"UP","SP","UP",1,0,7.07547169811321
"2",9818103,"coordination","trial",5017.93800000019,2,"left",14,"15soloseinsieme.png","14.png",0,"UP","SP","UP",1,0,5.23584905660377
"3",9818103,"coordination","trial",1591.42999999991,3,"left",8,"15soloseinsieme.png","8.png",0,"UP","SP","UP",1,0,10.8962264150943
"4",9818103,"coordination","trial",3296.62000000009,4,"right",10,"10.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,7.78301886792453
"5",9818103,"coordination","trial",1733.808,5,"left",5,"15soloseinsieme.png","5.png",0,"UP","SP","UP",1,0,13.8679245283019
"6",9818103,"coordination","trial",1786.31699999981,6,"right",13,"13.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,5.94339622641509
"7",9818103,"coordination","trial",1621.27399999991,7,"right",7,"7.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,11.6037735849057
"8",9818103,"coordination","trial",1964.65899999991,8,"right",11,"11.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,7.21698113207547
"9",9818103,"coordination","trial",1879.81900000009,9,"right",3,"3.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,14.0094339622642
"10",9818103,"coordination","trial",3349.522,10,"left",15,"15.png","15soloseinsieme.png",0,"SP","UP","SP",0,1,15
"11",9818103,"coordination","trial",1751.731,11,"left",9,"15soloseinsieme.png","9.png",0,"UP","SP","UP",1,0,10.0471698113208
"12",9818103,"coordination","trial",1411.73,12,"right",2,"2.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,14.4339622641509
"13",9818103,"coordination","trial",1402.94599999991,13,"left",4,"15soloseinsieme.png","4.png",0,"UP","SP","UP",1,0,13.8679245283019
"14",9818103,"coordination","trial",1674.94000000018,14,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,14.4339622641509
"15",9818103,"coordination","trial",1515.34899999981,15,"left",6,"15soloseinsieme.png","6.png",0,"UP","SP","UP",1,0,13.0188679245283
"16",9818103,"lottery","trial",2538.9789999999,1,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,1,9
"17",9818103,"lottery","trial",2030.986,2,"right",12,"15soloseacaso.png","12.png",0,"UP","SP","SP",0,0,12
"18",9818103,"lottery","trial",1176.41599999981,3,"right",6,"6.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"19",9818103,"lottery","trial",2878.36299999991,4,"right",4,"4.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"20",9818103,"lottery","trial",1484.758,5,"right",11,"15soloseacaso.png","11.png",0,"UP","SP","SP",0,0,11
"21",9818103,"lottery","trial",1486.65600000019,6,"left",7,"15soloseacaso.png","7.png",0,"UP","SP","UP",1,0,7.5
"22",9818103,"lottery","trial",1299.87899999999,7,"right",13,"15soloseacaso.png","13.png",0,"UP","SP","SP",0,0,13
"23",9818103,"lottery","trial",1116.052,8,"left",1,"15soloseacaso.png","1.png",0,"UP","SP","UP",1,NA,7.5
"24",9818103,"lottery","trial",1199.702,9,"left",3,"15soloseacaso.png","3.png",0,"UP","SP","UP",1,0,7.5
"25",9818103,"lottery","trial",1626.66000000019,10,"left",10,"10.png","15soloseacaso.png",0,"SP","UP","SP",0,0,10
"26",9818103,"lottery","trial",1276.16099999991,11,"left",14,"14.png","15soloseacaso.png",0,"SP","UP","SP",0,0,14
"27",9818103,"lottery","trial",1790.72500000009,12,"left",15,"15.png","15soloseacaso.png",0,"SP","UP","SP",0,0,15
"28",9818103,"lottery","trial",1770.80900000018,13,"right",5,"5.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"29",9818103,"lottery","trial",1062.72299999981,14,"right",2,"2.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"30",9818103,"lottery","trial",1718.6960000001,15,"left",8,"15soloseacaso.png","8.png",0,"UP","SP","UP",1,0,7.5
"31",9818103,"competition","trial",3710.7420000001,1,"left",11,"11.png","15solosesoli.png",0,"SP","UP","SP",0,0,11
"32",9818103,"competition","trial",4403.25200000009,2,"left",7,"7.png","15solosesoli.png",0,"SP","UP","SP",0,0,7
"33",9818103,"competition","trial",7804.92999999982,3,"right",3,"3.png","15solosesoli.png",0,"SP","UP","UP",1,0,6.36792452830189
"34",9818103,"competition","trial",6370.0689999999,4,"right",4,"4.png","15solosesoli.png",0,"SP","UP","UP",1,0,7.21698113207547
"35",9818103,"competition","trial",1195.10200000009,5,"left",12,"12.png","15solosesoli.png",0,"SP","UP","SP",0,0,12
"36",9818103,"competition","trial",1665.29300000009,6,"right",13,"15solosesoli.png","13.png",0,"UP","SP","SP",0,0,13
"37",9818103,"competition","trial",1102.33600000018,7,"right",9,"15solosesoli.png","9.png",0,"UP","SP","SP",0,0,9
"38",9818103,"competition","trial",2004.61900000018,8,"left",5,"15solosesoli.png","5.png",0,"UP","SP","UP",1,0,8.63207547169811
"39",9818103,"competition","trial",1821.0449999999,9,"left",1,"15solosesoli.png","1.png",0,"UP","SP","UP",1,NA,6.36792452830189
"40",9818103,"competition","trial",1595.23099999983,10,"left",8,"8.png","15solosesoli.png",0,"SP","UP","SP",0,0,8
"41",9818103,"competition","trial",2716.30600000001,11,"left",6,"6.png","15solosesoli.png",0,"SP","UP","SP",0,1,6
"42",9818103,"competition","trial",939.241000000096,12,"left",10,"10.png","15solosesoli.png",0,"SP","UP","SP",0,0,10
"43",9818103,"competition","trial",1101.54800000018,13,"left",2,"15solosesoli.png","2.png",0,"UP","SP","UP",1,0,6.36792452830189
"44",9818103,"competition","trial",1453.65799999982,14,"right",14,"15solosesoli.png","14.png",0,"UP","SP","SP",0,0,14
"45",9818103,"competition","trial",1419.81299999999,15,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"46",9818104,"competition","trial",9201,1,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,1,14
"47",9818104,"competition","trial",4336,2,"left",6,"6.png","15solosesoli.png",0,"SP","UP","SP",0,0,6
"48",9818104,"competition","trial",19596,3,"left",3,"3.png","15solosesoli.png",1,"SP","UP","SP",0,1,3
"49",9818104,"competition","trial",4201,4,"left",13,"15solosesoli.png","13.png",0,"UP","SP","UP",1,0,11.4622641509434
"50",9818104,"competition","trial",3002,5,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"51",9818104,"competition","trial",8225.00000000001,6,"left",12,"15solosesoli.png","12.png",0,"UP","SP","UP",1,1,11.1792452830189
"52",9818104,"competition","trial",3055,7,"left",11,"11.png","15solosesoli.png",0,"SP","UP","SP",0,0,11
"53",9818104,"competition","trial",15470,8,"left",1,"15solosesoli.png","1.png",1,"UP","SP","UP",1,NA,6.36792452830189
"54",9818104,"competition","trial",2063,9,"left",9,"9.png","15solosesoli.png",0,"SP","UP","SP",0,0,9
"55",9818104,"competition","trial",2731,10,"right",7,"15solosesoli.png","7.png",0,"UP","SP","SP",0,0,7
"56",9818104,"competition","trial",3197,11,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,0,8
"57",9818104,"competition","trial",2764,12,"right",10,"15solosesoli.png","10.png",0,"UP","SP","SP",0,0,10
"58",9818104,"competition","trial",13701,13,"right",5,"15solosesoli.png","5.png",1,"UP","SP","SP",0,0,5
"59",9818104,"competition","trial",4198.00000000001,14,"right",2,"2.png","15solosesoli.png",0,"SP","UP","UP",1,0,6.36792452830189
"60",9818104,"competition","trial",2290,15,"left",4,"4.png","15solosesoli.png",0,"SP","UP","SP",0,0,4
"61",9818104,"coordination","trial",2997,1,"right",14,"14.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,5.23584905660377
"62",9818104,"coordination","trial",4857,2,"left",9,"15soloseinsieme.png","9.png",0,"UP","SP","UP",1,0,10.0471698113208
"63",9818104,"coordination","trial",1833,3,"right",7,"7.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,11.6037735849057
"64",9818104,"coordination","trial",3890,4,"right",6,"6.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.0188679245283
"65",9818104,"coordination","trial",897,5,"left",8,"15soloseinsieme.png","8.png",0,"UP","SP","UP",1,0,10.8962264150943
