"","sub","age.cat","version","name","value","flag.switch.0","flag.switch.1","flag.ns","slope.lottery","flag.slopes","flag.lottery","risk.lott","Gender","Age","mean_mars","pre_err","post_delta_ref","mars_age.cat","mars.mc","risk.lott.mc","pre_err.mc","post_delta_ref.mc","mars.gmc"
"1","7312338","Adolescents","ver1","Risk",-0.466666666666667,"0","0","0",0.167081410275354,"1","1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"2","7312338","Adolescents","ver1","RT",283.866666666665,"0","0","0",0.167081410275354,"1","1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"3","7312338","Adolescents","ver1","RT2",351,"0","0","0",0.167081410275354,"1","1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"4","7312338","Adolescents","ver1","Switch",0.428571428571429,"0","0","0",0.167081410275354,"1","1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"5","7312338","Adolescents","ver1","Payoff",1.17446808510638,"0","0","0",0.167081410275354,"1","1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"6","7312339","Adolescents","ver1","Risk",-0.266666666666667,"0","0","0",-2.67936029127502,"0","0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"7","7312339","Adolescents","ver1","RT",316.2,"0","0","0",-2.67936029127502,"0","0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"8","7312339","Adolescents","ver1","RT2",-16,"0","0","0",-2.67936029127502,"0","0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"9","7312339","Adolescents","ver1","Switch",0.142857142857143,"0","0","0",-2.67936029127502,"0","0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"10","7312339","Adolescents","ver1","Payoff",-0.799290780141844,"0","0","0",-2.67936029127502,"0","0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"11","7312340","Adolescents","ver1","Risk",-0.466666666666667,"0","0","0",-2.37722099594354,"0","0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"12","7312340","Adolescents","ver1","RT",-1722.6,"0","0","0",-2.37722099594354,"0","0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"13","7312340","Adolescents","ver1","RT2",-1383,"0","0","0",-2.37722099594354,"0","0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"14","7312340","Adolescents","ver1","Switch",-0.214285714285714,"0","0","0",-2.37722099594354,"0","0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"15","7312340","Adolescents","ver1","Payoff",-1.36666666666667,"0","0","0",-2.37722099594354,"0","0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"16","7312341","Adolescents","ver1","Risk",0,"0","0","0",-2.13329241604867,"0","0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"17","7312341","Adolescents","ver1","RT",-614.415200025431,"0","0","0",-2.13329241604867,"0","0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"18","7312341","Adolescents","ver1","RT2",-376.969000190737,"0","0","0",-2.13329241604867,"0","0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"19","7312341","Adolescents","ver1","Switch",-0.142857142857143,"0","0","0",-2.13329241604867,"0","0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
