"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"7",10933689,"competition","trial",5800.2,1,"left",3,"15solosesoli.png","3.png",0,"UP","SP","UP",1,1,3.22429906542056
"9",10933689,"competition","trial",9676,2,"right",15,"15solosesoli.png","15.png",1,"UP","SP","SP",0,0,15
"11",10933689,"competition","trial",15844.700000143,3,"left",10,"15solosesoli.png","10.png",1,"UP","SP","UP",1,0,8.83177570093458
"13",10933689,"competition","trial",2674.69999995232,4,"left",9,"15solosesoli.png","9.png",0,"UP","SP","UP",1,0,6.72897196261682
"15",10933689,"competition","trial",1274.70000014305,5,"left",4,"15solosesoli.png","4.png",0,"UP","SP","UP",1,0,4.76635514018692
"17",10933689,"competition","trial",1183.3,6,"left",5,"15solosesoli.png","5.png",0,"UP","SP","UP",1,0,4.34579439252336
"19",10933689,"competition","trial",1093.20000009537,7,"left",8,"15solosesoli.png","8.png",0,"UP","SP","UP",1,0,5.88785046728972
"21",10933689,"competition","trial",1419.59999995232,8,"left",7,"15solosesoli.png","7.png",0,"UP","SP","UP",1,0,5.46728971962617
"23",10933689,"competition","trial",1429.20000009537,9,"right",11,"15solosesoli.png","11.png",0,"UP","SP","SP",0,1,11
"25",10933689,"competition","trial",1945.10000014305,10,"left",6,"15solosesoli.png","6.png",0,"UP","SP","UP",1,0,5.74766355140187
"27",10933689,"competition","trial",1016.9,11,"left",1,"15solosesoli.png","1.png",0,"UP","SP","UP",1,NA,3.08411214953271
"29",10933689,"competition","trial",1733.50000000001,12,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,0,14
"31",10933689,"competition","trial",1290.7,13,"left",13,"13.png","15solosesoli.png",0,"SP","UP","SP",0,0,13
"33",10933689,"competition","trial",1181.4,14,"right",12,"15solosesoli.png","12.png",0,"UP","SP","SP",0,0,12
"35",10933689,"competition","trial",843.100000047685,15,"right",2,"15solosesoli.png","2.png",0,"UP","SP","SP",0,1,2
"40",10933689,"lottery","trial",5554.50000014305,1,"left",3,"15soloseacaso.png","3.png",0,"UP","SP","UP",1,0,7.5
"42",10933689,"lottery","trial",2456.20000004768,2,"left",6,"15soloseacaso.png","6.png",0,"UP","SP","UP",1,0,7.5
"44",10933689,"lottery","trial",1165.70000014306,3,"left",11,"15soloseacaso.png","11.png",0,"UP","SP","UP",1,1,7.5
"46",10933689,"lottery","trial",2261.60000009536,4,"right",5,"5.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"48",10933689,"lottery","trial",862.700000047684,5,"right",1,"1.png","15soloseacaso.png",0,"SP","UP","UP",1,NA,7.5
"50",10933689,"lottery","trial",919.199999999997,6,"right",4,"4.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"52",10933689,"lottery","trial",971.900000095367,7,"right",14,"15soloseacaso.png","14.png",0,"UP","SP","SP",0,0,14
"54",10933689,"lottery","trial",699.900000143054,8,"right",12,"15soloseacaso.png","12.png",0,"UP","SP","SP",0,1,12
"56",10933689,"lottery","trial",2556.00000014305,9,"right",2,"2.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"58",10933689,"lottery","trial",938.100000000006,10,"right",7,"7.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"60",10933689,"lottery","trial",1734.40000014305,11,"right",13,"15soloseacaso.png","13.png",0,"UP","SP","SP",0,0,13
"62",10933689,"lottery","trial",1366,12,"left",15,"15.png","15soloseacaso.png",0,"SP","UP","SP",0,0,15
"64",10933689,"lottery","trial",3936.60000014305,13,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,1,9
"66",10933689,"lottery","trial",1303.50000014305,14,"left",8,"15soloseacaso.png","8.png",0,"UP","SP","UP",1,0,7.5
"68",10933689,"lottery","trial",1124.3,15,"right",10,"15soloseacaso.png","10.png",0,"UP","SP","SP",0,0,10
"73",10933689,"coordination","trial",5222.29999995232,1,"left",2,"15soloseinsieme.png","2.png",0,"UP","SP","UP",1,0,9.81308411214953
"75",10933689,"coordination","trial",1467.8,2,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,11.9158878504673
"77",10933689,"coordination","trial",5251.70000004768,3,"right",8,"15soloseinsieme.png","8.png",0,"UP","SP","SP",0,1,8
"79",10933689,"coordination","trial",828.300000000003,4,"right",9,"15soloseinsieme.png","9.png",0,"UP","SP","SP",0,0,9
"81",10933689,"coordination","trial",1142.30000009536,5,"left",7,"15soloseinsieme.png","7.png",0,"UP","SP","UP",1,0,9.53271028037383
"83",10933689,"coordination","trial",846.100000047678,6,"left",4,"15soloseinsieme.png","4.png",0,"UP","SP","UP",1,0,10.2336448598131
"85",10933689,"coordination","trial",1066.09999999999,7,"left",5,"15soloseinsieme.png","5.png",0,"UP","SP","UP",1,0,10.6542056074766
"87",10933689,"coordination","trial",1137.89999995232,8,"left",6,"15soloseinsieme.png","6.png",0,"UP","SP","UP",1,0,9.25233644859813
"89",10933689,"coordination","trial",1405.20000009536,9,"right",15,"15soloseinsieme.png","15.png",0,"UP","SP","SP",0,0,15
"91",10933689,"coordination","trial",1099.60000000001,10,"left",10,"10.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,10
"93",10933689,"coordination","trial",973.899999952322,11,"left",14,"14.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,14
"95",10933689,"coordination","trial",865.300000000017,12,"left",12,"12.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,12
"97",10933689,"coordination","trial",1549.10000000001,13,"right",13,"15soloseinsieme.png","13.png",0,"UP","SP","SP",0,0,13
"99",10933689,"coordination","trial",1663.80000009536,14,"left",3,"15soloseinsieme.png","3.png",0,"UP","SP","UP",1,0,11.7757009345794
"101",10933689,"coordination","trial",1468.10000000001,15,"right",11,"15soloseinsieme.png","11.png",0,"UP","SP","SP",0,0,11
"110",10933690,"competition","trial",3966.8,1,"right",7,"7.png","15solosesoli.png",0,"SP","UP","UP",1,0,5.46728971962617
"112",10933690,"competition","trial",4102.4000002861,2,"left",6,"15solosesoli.png","6.png",0,"UP","SP","UP",1,0,5.74766355140187
"114",10933690,"competition","trial",2666.7,3,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,1,8
"116",10933690,"competition","trial",1874.20000019074,4,"left",2,"15solosesoli.png","2.png",0,"UP","SP","UP",1,0,5.18691588785047
"118",10933690,"competition","trial",1334,5,"left",12,"12.png","15solosesoli.png",0,"SP","UP","SP",0,0,12
"120",10933690,"competition","trial",1865.8,6,"left",5,"15solosesoli.png","5.png",0,"UP","SP","UP",1,0,4.34579439252336
"122",10933690,"competition","trial",1416.8,7,"left",13,"13.png","15solosesoli.png",0,"SP","UP","SP",0,0,13
"124",10933690,"competition","trial",2954.70000038147,8,"left",3,"15solosesoli.png","3.png",0,"UP","SP","UP",1,0,3.22429906542056
"126",10933690,"competition","trial",2238.2000002861,9,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"128",10933690,"competition","trial",2029.90000009537,10,"left",9,"9.png","15solosesoli.png",0,"SP","UP","SP",0,0,9
"130",10933690,"competition","trial",2273.80000038147,11,"right",11,"15solosesoli.png","11.png",0,"UP","SP","SP",0,0,11
"132",10933690,"competition","trial",1689.3,12,"right",1,"1.png","15solosesoli.png",0,"SP","UP","UP",1,NA,3.08411214953271
"134",10933690,"competition","trial",1682.9,13,"right",4,"4.png","15solosesoli.png",0,"SP","UP","UP",1,0,4.76635514018692
"136",10933690,"competition","trial",1662.60000009536,14,"right",14,"15solosesoli.png","14.png",0,"UP","SP","SP",0,0,14
"138",10933690,"competition","trial",1153,15,"right",10,"15solosesoli.png","10.png",0,"UP","SP","SP",0,0,10
"143",10933690,"coordination","trial",1470.6,1,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,11.9158878504673
"145",10933690,"coordination","trial",5056.6000002861,2,"right",12,"15soloseinsieme.png","12.png",0,"UP","SP","SP",0,0,12
"147",10933690,"coordination","trial",1443.40000009537,3,"right",11,"15soloseinsieme.png","11.png",0,"UP","SP","SP",0,0,11
"149",10933690,"coordination","trial",1454.90000038147,4,"left",6,"15soloseinsieme.png","6.png",0,"UP","SP","UP",1,0,9.25233644859813
"151",10933690,"coordination","trial",2045.2,5,"right",9,"9.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,8.13084112149533
"153",10933690,"coordination","trial",1375.60000019074,6,"left",5,"15soloseinsieme.png","5.png",0,"UP","SP","UP",1,0,10.6542056074766
"155",10933690,"coordination","trial",1233.39999999999,7,"right",4,"4.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,10.2336448598131
